canal,sum(views)
"HJ NEWS",4841490
"Amoroso TV",4836178
"BLA BLA",4829416
"Atraviesa lo desconocido",4814132
"Novelas HD",4810573
"Te lo resumo",4808189
"Hannah Stocking",4796646
"Nicki Minaj",4786990
ElAlfaElJefeTV,4777700
"KH Daily",4736045
"Troom Troom SELECT",4735828
"BFR 1",4730678
"DetrÃ¡s De Los Famosos",4730196
notiguiatv,4706273
"El Gran Show",4692898
HaAshVEVO,4692004
"Lizos Music",4689757
"taco guapo",4684589
"FilmSelect Trailer",4684078
å…­å…­è¯´æ–°é—»,4675626
"ULTIMAS NOTICIAS HOY 2018",4660596
"Hoy HD",4658457
"fejevi fejevi",4647088
WADIM,4637495
"Furious Trailer",4634379
"Love Romatic",4616856
"nath mu",4613755
"Made In Guatemala",4608542
MeghanTrainorVEVO,4596391
"El Robot de PlatÃ³n",4593000
DeTodoUnPoco,4591276
"Dwarf Mamba",4575521
"Nada Que Hacer",4559441
LlegaExperimentos,4534607
"Todo Videos",4531314
"Chisme Picudo",4525794
"SINALOA RECORDZ LOS MEJORES ESTRENOS",4520059
Reykon,4482030
Tasty,4466560
WAXTERNOC,4463858
GiraHD,4458750
"Martin Garrix",4437580
CHYNOMIRANDAVEVO,4425593
Muse,4389559
"Noticias Reales TV",4386050
"FÃºtbol Latino",4379280
Astronomiaweb,4363446
Mamonymous,4327306
AshComps7,4309736
MattHunterVEVO,4291388
Farruko,4277287
whatthechic,4265634
LadyGagaVEVO,4265545
"Casa Comedy TV",4255684
ELPAPAS99,4255362
"Baladas Romanticas en EspaÃ±ol",4251286
"Kozmo HD",4241192
TeleTomas,4238387
"El Show De Carlos DurÃ¡n",4223344
Blerk,4200349
"Enchula tu mente!!!",4183463
"Alan Walker",4168892
PitbullVEVO,4101722
AMX,4098385
"Rank Smashers",4093640
ManuelRivera11,4091951
"Karime Pindter",4086786
"CM tops",4084172
"Amara Que Linda",4079762
"Calle y PochÃ©",4079734
levelup.com,4071837
ROBBYVIDEOS,4070667
CuriosaMente,4070580
"Mr. Tops",4060628
DisneyChannelLA,4044706
LOS,4013694
retojorjais,4012279
"Lalo Rivera",4003996
VA10HD,3992971
"Music GO Relaxing",3992946
"Bodega Aurrera",3990927
Niosant,3987083
DetrÃ¡sDeCÃ¡maras,3969609
"Soy Francisco ALV",3966898
CaliyElDandeeVEVO,3966223
Willyrex,3963739
"Lucas and Marcus",3957385
"CRUZ AZUL FUTBOL MX",3946796
Pautips,3940260
"Reality Mex",3927928
TheSurvivorSpanish,3925180
"Wrestling Time",3914068
"Ligados No Futebol",3910947
Noti7,3905593
"Bo Johnson",3878510
"Rooster Teeth",3875551
RickyMartinVEVO,3850862
HBOenLatinoAmerica,3849563
"Alfonso LeÃ³n",3836208
"Al Rojo Vivo",3834195
"Motion Station",3816366
"Fueled By Ramen",3808397
"cid vela",3808396
FulBox,3802476
MejorDiver,3799730
Choquillo,3785737
"Mr Scorpius",3766168
"Oraciones Diarias con Amor",3751060
LosVaMs,3709019
"XuXo Dom",3687236
"Indie Arts Kenel",3680680
SeanPaulVEVO,3668971
"Humor Mexicano",3663245
"Viral Pancho",3656651
"Elven King Life",3655088
AlexXxStrecci,3652377
"SeÃ±ora Acero 4 Hd",3640369
Tide,3638193
"Resumen FÃºtbol HD",3634314
"SaraMixer Celebrities",3631484
"Classical Songs",3631053
"How Talented",3622108
Facundo,3613262
"Trend Tv",3604316
"Pulsa Channel",3597737
RadioTV&MÃ¡s,3597513
"Soy Luna 3 Oficial Channel",3586167
Vinemania,3583103
"Micky Contreras Martinez",3577976
JhayCortezVEVO,3577915
"Xime Ponch",3550327
"El Financiero Bloomberg",3542535
Psyclone,3541607
"Mas Que Telenovelas",3540771
"DetrÃ¡s del Foco",3530567
Benshorts,3524882
"Camila Cabello",3518280
MikyWoodz,3516602
RULÃ‰S,3512420
BotonÃ«t,3509895
Gym4men,3504999
"Rockerki Gamer",3500976
"Realitys del Momento",3494685
KhalidVEVO,3474839
"Futbol TOTAL",3469269
"HiHi TV",3464954
"Vm granmisterio",3461787
RemexMusic,3456310
"Noticias del FERRAS TV Internacional",3441658
"Imagen Noticias",3440692
Antrax,3425163
Domics,3412324
TheOdd1sOut,3411062
Samsung,3386641
megustapuescom,3367792
"FANATICO SIMPSON",3358086
Lulu99,3351911
"Soy Luna Forever",3346636
"Novelas Now",3340791
"Channel Awesome",3337728
INETV,3335233
"Realista Tv",3333809
JuanesVEVO,3333203
FritangaPlays,3323615
"Clash of Clans",3316276
CrazyRussianHacker,3305605
alanxelmundo,3303427
"Will Smith",3302945
"Megustapuescom 2",3295994
"Tano Upload",3281123
"Mr Daddy",3279495
"Primitive Technology",3234154
Lolweapon,3227497
"Chisme Cacheton",3217107
"Tutoriales Belen",3203738
Wefere,3193089
"AndrÃ©s Navy",3175167
Markiplier,3169294
"Noticiero Mundial News",3158825
"The X Factor UK",3151991
MemeViral,3147178
PasiÃ³nFutbolista.Com,3139915
"Pepe Garza",3137349
"Edd00chan & MrDsaster INC",3129965
Fortnite,3127608
"MATCH DAY MX",3118403
"Lord Birdy",3115518
"Baby Girl",3113517
"El Super Trucha",3111456
"SPGOALS TV",3108570
"El Fedelobo",3106638
"Imagen Entretenimiento",3098159
"Bhad Bhabie",3095476
"AsÃ­ O MÃ¡s FÃ¡cil",3092786
"YO NO SOY UN CHEF",3069273
"The Slow Mo Guys",3068037
WorldCupMexHD,3060601
"Mnet K-POP",3049942
Smosh,3048119
GerardoOrtizVEVO,3045309
CdeCiencia,3037424
"Daniel Joy",3036329
kevsho,3031430
"linkerter pluss",3028061
"EL PAIS",3018892
JColeVEVO,3018846
"XZERO TONY",3018563
"Super Netvid",3014847
"Wrestling Universe",3001890
SugarlandVEVO,2998198
"Re Football",2989479
"Miguel Alonso",2969604
"Wrestling Phobia",2964829
Edd00chan,2960625
"Jeny Pop En Ingles",2958967
HALO,2957441
"Cerveza Tecate MÃ©xico",2939706
Iuonak,2931084
"Football Highlights Update",2927565
"ViraLiSaMeEsta â€¢",2927128
GuatevisiÃ³n,2920699
"En Viral",2918803
"The WarrioR",2916846
nigahiga,2914158
"Supervivientes Del Universo",2911995
"Alfred rich",2906356
"Dash Aniston",2892268
TheShooterCoC,2892170
"Todo Futbol En Vivo",2878131
"Eirian Music",2867117
"Sangre yAgua",2857068
"Takis MÃ©xico",2851466
"Armando En Tu Cocina",2848817
"ZellenDust - REY DEL TERROR Y EL ABSURDO",2837124
"Matt Stonie",2835386
Gerencia360TV,2835139
"PBS NewsHour",2832705
"ABC Television Stations",2831351
"The Official PokÃ©mon YouTube Channel",2828208
"Noti-blogs Expess",2825348
"Jonathan Justiniano",2807041
Univision,2805005
PepeProblemas,2802146
"Extranotix Misterio",2787566
UEFA.tv,2786105
"The Star Online",2783140
"Alberto Rivera",2773999
"Safiya Nygaard",2767977
MX-AG/AUDIOVISUAL,2767334
AlemÃ¡n,2759350
Fazzer,2758152
"Physical Treatment",2750715
xxxtentacion,2750259
"LIT killah",2739673
TheChacal547,2729584
AutoDinÃ¡mico,2727725
LouisTomlinsonVEVO,2724803
iTops,2719123
"Azteca Novelas",2717050
"El Siglo mx",2709700
"BCC Trolling",2709126
"Ariann Music",2707572
Alecchi,2706572
"Football Highlights & Goals",2705965
Poppy,2698520
"Turma da MÃ´nica",2688277
"El seÃ±or de los cielos 6 MX",2684578
"Tele Avances",2677218
"Fut MX",2673183
"PROMOCIONES RAMIREZ",2672001
"Series Telenovelas Blim ntcmusicvideos",2670986
"Jordan Dzib",2666133
"Palomitas Flow",2662485
"ERICK NOVELAS",2660768
"Ciber Sports",2655545
"Guillermo Ramirez",2654099
alfredomatta,2645708
"Cocholate TV ãƒ„",2641994
"Chisme Youtubero",2633258
"Binging with Babish",2629328
"ED Futbol, Tennis and more",2618052
Tecnonauta,2617787
"Brothers sports",2612830
"Marca Claro",2609963
"STR Red",2603166
HistoriaMX,2595995
"Telemundo Novelas",2592716
"JAC Producciones",2580817
TVFUTBOL,2567149
Marisolpink,2565752
"Geraldine BazÃ¡n",2563438
"El idioma del Amor",2562945
"MODA COOL",2555823
"Ariana Grande`",2554314
"ABC Television Network",2553120
"Mao Tran",2544856
"Tv Cartoon-CDR",2541472
"COMO TREINAR",2534323
"Gabriel HD",2532336
"DEL Records",2531720
Pitufox17,2526365
"soyFrancisco ALV",2516000
"Univision Deportes",2513838
"Carlos carlos",2511183
"El Nopal Times",2505883
"AFmedios Noticias de Colima",2503725
AlphaSniper97,2500992
"Tee Grizzley",2497813
JosephDavids07,2495043
"First We Feast",2485079
"DEL Records TV",2481538
KHEA,2480543
"Melissa Sweeney",2480364
"Videos MÃ©xico",2479496
"Vive tus sueÃ±oss",2476177
"Los destrampados OFICIAL",2475901
Battlefield,2474560
"Stadium Astro",2467651
"Popcorn News",2465977
"Padre Sergio",2463380
BastilleVEVO,2461837
MaNiiXo,2451100
OlipBeautyCorner,2449163
"Jazzy B Records",2448996
Zebaxthian18,2444706
"Cole Bennett",2441277
"Lord Fer LEE",2439028
LogicVEVO,2431564
"Isa Marcial",2427366
"Los Tres Tristes Tigres",2420271
SeriesHD,2419054
"Planeta Snakedos",2418728
"MayEli Nest",2410872
"Bryant Myers",2410555
"Rapid Highlights",2399908
"Cine Hd",2397565
watchJojo,2389562
"KOKO DC",2377107
ChrisBrownVEVO,2377098
"Fifty Shades",2375198
ElChurches,2372225
alexisyfidoVEVO,2371272
"Liza Koshy",2365624
"Nancy Loaiza",2355077
"Doctor Mike",2348176
EntretenimientoTV,2348118
"Quiero Cupcakes!",2345732
ElTrollino,2344638
Oscars,2338282
"Chisme Youtubero *FRESCO*",2336565
"Videos Futbol",2320824
iDubbbzTV,2320465
Zorman,2319434
"Post Malone",2316260
"Tecno Sports",2314941
AtuLadoEsMejor,2306316
"Francisco Tequila",2306274
"Usted Esta Aqui.",2304011
iggyazaleamusicVEVO,2295442
"NBC News",2286528
RemmyValenzuelaVEVO,2279169
"Adexe & Nau",2269767
"Lyna Vlogs",2259956
"Don Benito",2259294
"Kronno Zomber",2253808
"Jauja Cocina Mexicana",2250384
"Videos Mundo",2248393
"BBC Radio 1",2247098
"PERIODISMO LIBRE Y ARTISTICO",2245768
"ElJamesHD Tops",2242477
"20th Century Fox LA",2239338
"Cultura Pop",2236688
"EstoEs COMBO",2234413
"Sam Echols",2229939
"NTA Channel",2224282
"Tube Sports",2221174
GranCanariaTv.com,2220797
"Lindsey Stirling",2212291
"Major Lazer",2208329
Horaotaku,2206661
"Alejandro ZuÃ±iga",2190653
"RockStar Deportes",2182557
"Rodrigo SeptiÃ©n",2181962
AresPromo,2181149
"Tube World",2168636
"Karol Sevilla",2167329
"Red CatÃ³lica Official",2166464
gymvirtual,2165286
Neymagico,2161407
PlayOverwatch,2158797
"Gong Bao",2158723
UNIVERSO,2155519
"Viral En redes!",2153619
"Mix Bandas",2148380
"El Chairo",2145427
"Parecen Noticias Extra",2143315
"Verdad Oculta",2142880
consumer,2140058
"Noticias Mix",2138353
FutbolxOnline,2137448
"Litlle Super BuuTenks and Ginyu",2134531
Grillonautas2,2129320
"WWE KING",2126683
"NaciÃ³n 321",2113564
"MexGol TV",2112363
"JIREN BIEN GRIS",2110586
"TehFuriousD TV",2110433
DeGoBooM,2105688
kiabu,2103835
sottozen,2100084
"Mariana Cabrera",2098854
"Wrestling Reality II",2095485
PTXofficial,2092578
"Akashi Tv",2088333
"Merry Christmas",2087809
WOWPresents,2086917
"Nath Campos",2073969
"Remik GonzÃ¡lez 664",2068600
"Criss Huera",2062591
HalseyVEVO,2059705
"Carlos Cohen",2049123
BestOfPatienceOzokwo,2048426
"Entertainment Tonight",2039918
"LAURY WHAT",2038317
Billboard,2031269
"Videos Virales Noticias",2027641
"Futbol Total 3",2025298
Santimaye,2023169
MelendiOficialVEVO,2015259
"La Pereztroica",2014523
"Bianki Place",2012522
FamilyFeud,2004507
ELFluv13,2003617
"Health Home Made Nuskhe Upay Tips",2002398
RIX,2002173
Paulettee,1998595
"MATCH SHOW",1996746
PepeyTeo,1994401
"Google Spotlight Stories",1989732
zorronum1,1984668
"WOX TV",1982857
"Mr Sako",1981525
vicesat,1978588
"Universal Camera",1972425
"Planeta SportTV",1972253
"Highlight Heaven",1968760
MdeMatu,1967586
"El Chapucero TODAY",1967042
ZonaTrailers,1962299
"Enamorandonos Mx",1960744
"Mario Ruiz",1959670
Funimation,1956886
SporTube,1954963
"Inspira Positivo",1954194
NGAKAKU,1952559
"La Diversion de Martina",1952198
gRUNgerOFICIAL,1943990
"The Voice",1942912
"Clevver TeVe",1942333
"CASAS REALES",1940360
"xJOEx à¹„à¸®à¹„à¸¥à¸—à¹Œà¸Ÿà¸¸à¸•à¸šà¸­à¸¥",1938370
"1theK (ì›ë”ì¼€ì´)",1935896
"Latino Vicente",1935615
"Prensa Libre tv",1929465
"Noticias Telemundo",1926067
"Los Vlogs de Dross",1924465
AndresCepedaVEVO,1922664
redimi2oficial,1918973
"yoongified 93",1916191
"La Ruta de la Garnacha",1902790
"News 42",1895958
AmusementForce,1892543
"Mediaset EspaÃ±a",1891151
"ONE Media",1890901
"Style Videos",1888165
"Mr Sagoo",1884455
"Platiquemos Polinesios",1883500
"dragon ball super GUMER",1882291
DEPORTOLOGIA,1875876
"VICKY RECETA FACIL",1875820
"Diario AS",1867474
"Jose Lapiz",1864018
"La Cocina Del Pirata",1855463
UFOvnis,1853601
"3.186.368 ditonton",1852709
"JOKER MAX",1852117
"BreveNOTAS De Actualidad",1850287
TMZSports,1848830
"DeTodoUnPoco MX",1841815
elcarteldesantatv,1841658
"Selena Gomez",1831808
"Red banana Short Films",1831006
"FutBolHD & Games",1825881
"Futtoti 96",1823778
CHANEL,1821868
"La mafe mendez",1815108
"Logan G",1813770
"Misterios Sin Resolver",1813172
"La Adictiva",1812104
MundoCreepy,1811319
"Monkey Android",1810763
"Balonero MX",1810630
ImagenTV,1810628
ckan98,1810476
"NOTICIAS VIRALES LOS VIDEOS MAS VISTOS",1799964
"MÃ©xico Al Dia",1798175
Wachaut,1789785
CABALLERO,1789601
"ABC News",1789259
YosStoP,1786369
"Gera MX",1782809
"ÃisÏÎ±rÎ±ron, MÎ±nigÃ¼is, ÃisÏÎ±rÎ±ron",1781809
"World News",1758896
somoschilangos,1755929
"BC O",1755245
"Ariel NuÃ±o y La Nueva Generacion",1755181
"Jonatan Clay",1750950
"REBELDE Y ATREVIDA",1745941
"Laura Cepeda",1738470
Lyna,1737763
"ExcÃ©lsior TV",1735866
"Travel Thirsty",1734502
