sum(views),canal
8940772,"LALA MÃ©xico"
8887085,"Red Bull Batalla De Los Gallos"
8880864,CarlosRiveraVEVO
8879508,SoyFredy
8827874,"Noticieros Televisa"
8818697,"Curiositos Vip"
8811570,ChrisJedayVEVO
8798840,"Cocho Late TV ãƒ„"
8768280,Prankedy
8735388,elrubiusOMG
8734774,"El Guzii"
8730713,"Telemundo Entretenimiento"
8681744,"La Virgen de Guadalupe con Nosotros"
8667573,VEGETTA777
8649992,PinkVEVO
8582291,"Rita Ora"
8549103,ArcticMonkeysVEVO
8428464,"Disney Studios LA"
8419398,TMZ
8404391,"Myco Setas"
8359184,xBuyer
8330484,"Star Wars"
8288654,"Jung Hyun Ran"
8288099,"Rudy Mancuso"
8272615,"Top Locuras Channel"
8245742,FiftyShadesVEVO
8214761,AbrahamMateoVEVO
8205882,"UNA SOLA FUERZA"
8200447,MoratVEVO
8181618,MaganVEVO
8138778,"FilmSelect EspaÃ±ol"
8053628,"How Ridiculous"
7984912,"Daily Dose Of Internet"
7982833,BackstreetBoysVEVO
7951196,"Rels B // Flakk Daniel"
7944670,"Gusgri Vlogs"
7938266,"Eurovision Song Contest"
7793221,"Music Relaxing"
7748919,"brozo xmiswebs"
7746362,"Amazon Prime Video Mexico"
7726719,gameslice
7714973,"Football TV-2"
7701049,"Chacaleo. Com"
7681665,"Los Amos del Periodismo Deportivo 2"
7658876,GENIAL
7651349,"AndrÃ©s Manuel LÃ³pez Obrador"
7603411,Delantero09
7538661,"GOL DE HOY"
7534191,"RT en EspaÃ±ol"
7518280,"El Salvador 4K"
7483999,"RankingViral MX"
7435445,"Kika Nieto"
7403389,"Americas Got Talent"
7389555,"Christian Dumon"
7376016,Netflix
7353058,M4K
7279952,"JV BR PB"
7269477,"Planeta Deportiva"
7226748,"Katie Angel"
7188087,"EA SPORTS FIFA"
7172561,DeXoXo
7097427,Anitta
7084459,"Kluna Tik"
7076597,"Brave Wilderness"
7066598,"Havana Express"
7004894,"Mexican TV Fans"
7001792,"El RincÃ³n De Giorgio"
6989796,SamSmithWorldVEVO
6876366,Salva
6868690,"Nutri Leche"
6850849,"LFP Gaming"
6812348,CNN
6806843,MR.ROMEO
6786757,CrlBlack
6784267,ElSmosh
6742076,BrosNacion
6711724,"Espinoza PazTV"
6703961,"Avances por Vlog Novelero"
6671406,"League of Legends"
6647360,"TongTongTv í†µí†µì˜ìƒ"
6643953,"VIDEOS RANDOM"
6638874,"MATCH OF THE DAY"
6632721,"OhWow Daily"
6621689,Incognita
6612716,"Instrumental Music Romantic"
6598168,"Stereo Avances"
6586024,"IDEAS EN 5 MINUTOS"
6564456,jacksfilms
6555076,"Skacer 89"
6520083,"EL Vielman"
6497752,"HuffPost MÃ©xico"
6457361,"La Saga"
6451218,"Mundo Desconocido"
6441342,"EL ALBOROTO DE LOS FAMOSOS"
6440409,CaELiKe
6428393,"J. Cole"
6416451,Homosapiens
6393541,Papawer
6365926,"Videos Curiosos"
6333192,"Jaden Smith"
6331316,"Musica Romantica"
6326708,MonLaferteVEVO
6324105,"Warner Music MÃ©xico"
6307964,Mikecrack
6300725,WeroKing
6270996,RobleisIUTU
6269041,"OVO Sound"
6266703,"Santiago Garza"
6234229,"Fut Azteca"
6203687,"FWF Indian Movies"
6188481,"24 Noticias - JUCA"
6153669,"El Drake Official"
6120959,"Kurzgesagt â€“ In a Nutshell"
6084296,"Los Capitanes HD"
6082132,"Aristegui Noticias"
6074691,"Noticias Youtube con Regina Blue y Ax Mode O"
6058284,"DetecciÃ³n MetÃ¡lica"
6048343,"FUTBOL LATINO"
6004085,"Audi Luces"
5948086,"La Rosa De Guadalupe"
5936959,"Los mejores Top 10"
5933266,"La Novelera"
5908809,"MÃ¡s SKabeche"
5904666,marshmello
5896805,"STR Noticias"
5867323,ManelAkaForce
5859790,SkyRompiendoVEVO
5825892,"Alyza Vlogs"
5825694,NachoVEVO
5825272,"Disney Channel LA"
5806454,"Jaiden Animations"
5798675,"Boser Salseo Futbolero"
5787330,"SIN PELOS EN LA LENGUA"
5768488,Craftingeek*
5757888,bytarifa
5755820,TTMTVideos
5746158,"Adult Swim"
5693019,LIVELOVEASAPVEVO
5655413,"Realitys, Noticias"
5613082,"Ultra Music"
5602954,"Don Reality"
5600210,SportsHD
5590983,"Cristian Bazan"
5576729,JoanJetsetter
5567429,"Corridos De Altura"
5551591,"Call of Duty"
5545422,"Music Box"
5533424,"Ximo Pierto"
5514923,HBO
5509336,"Juanpa Zurita"
5488596,YisusTV
5474450,YOLO
5449039,ZoeVEVO
5431147,"soheib Mix"
5401712,"Tommy Ross"
5388167,"FOOTBALL MINDS"
5364463,DisneyChannelLAVEVO
5361486,TheGrefg
5351520,Balconeados
5326730,LIUBCHENKO
5307759,"Dosogas Music"
5303701,"Mi BIAS TV"
5289191,"Clean Bandit"
5283779,"Rimas Music"
5281626,"El Privilegio de Mandar"
5261760,"Brytiago Cartel Records"
5245805,"La Resolana"
5236651,"Mundo Deportivo"
5232984,LennyTavarezTV
5224950,"Memo Aponte"
5204513,whatdafaqshow
5162211,Zhows
5151145,ESPN
5123366,"Funny Vines"
5118286,"BuzzFeed Celeb"
5096440,"EL MUNDO DE LAS HORMIGAS"
5090625,"El Chapucero"
5080655,GMTV
5066653,"The Graham Norton Show"
5050032,"FOX 10 Phoenix"
5026775,"KINGS DEL WEPA"
5017278,LiamPayneVEVO
4986956,"Juan Pablo Jaramillo"
4984597,"Netflix AmÃ©rica Latina"
4977825,Infortv
4976973,DalasReview
4973445,"El Mundo del Reality"
4957283,"BRUH SAVAGE"
4954049,JuStYosS
4927777,"Shawn Mendes"
4917221,"Lenny Perry"
4909960,"Charlie Puth"
4901131,"BTS y MÃ¡s"
4883885,CajaTEVE
4880004,Telcel
4875727,"Don Bigotes"
4850185,"Speed Records"
4843338,"Britains Got Talent"
4841490,"HJ NEWS"
4836178,"Amoroso TV"
4829416,"BLA BLA"
4814132,"Atraviesa lo desconocido"
4810573,"Novelas HD"
4808189,"Te lo resumo"
4796646,"Hannah Stocking"
4786990,"Nicki Minaj"
4777700,ElAlfaElJefeTV
4736045,"KH Daily"
4735828,"Troom Troom SELECT"
4730678,"BFR 1"
4730196,"DetrÃ¡s De Los Famosos"
4706273,notiguiatv
4692898,"El Gran Show"
4692004,HaAshVEVO
4689757,"Lizos Music"
4684589,"taco guapo"
4684078,"FilmSelect Trailer"
4675626,å…­å…­è¯´æ–°é—»
4660596,"ULTIMAS NOTICIAS HOY 2018"
4658457,"Hoy HD"
4647088,"fejevi fejevi"
4637495,WADIM
4634379,"Furious Trailer"
4616856,"Love Romatic"
4613755,"nath mu"
4608542,"Made In Guatemala"
4596391,MeghanTrainorVEVO
4593000,"El Robot de PlatÃ³n"
4591276,DeTodoUnPoco
4575521,"Dwarf Mamba"
4559441,"Nada Que Hacer"
4534607,LlegaExperimentos
4531314,"Todo Videos"
4525794,"Chisme Picudo"
4520059,"SINALOA RECORDZ LOS MEJORES ESTRENOS"
4482030,Reykon
4466560,Tasty
4463858,WAXTERNOC
4458750,GiraHD
4437580,"Martin Garrix"
4425593,CHYNOMIRANDAVEVO
4389559,Muse
4386050,"Noticias Reales TV"
4379280,"FÃºtbol Latino"
4363446,Astronomiaweb
4327306,Mamonymous
4309736,AshComps7
4291388,MattHunterVEVO
4277287,Farruko
4265634,whatthechic
4265545,LadyGagaVEVO
4255684,"Casa Comedy TV"
4255362,ELPAPAS99
4251286,"Baladas Romanticas en EspaÃ±ol"
4241192,"Kozmo HD"
4238387,TeleTomas
4223344,"El Show De Carlos DurÃ¡n"
4200349,Blerk
4183463,"Enchula tu mente!!!"
4168892,"Alan Walker"
4101722,PitbullVEVO
4098385,AMX
4093640,"Rank Smashers"
4091951,ManuelRivera11
4086786,"Karime Pindter"
4084172,"CM tops"
4079762,"Amara Que Linda"
4079734,"Calle y PochÃ©"
4071837,levelup.com
4070667,ROBBYVIDEOS
4070580,CuriosaMente
4060628,"Mr. Tops"
4044706,DisneyChannelLA
4013694,LOS
4012279,retojorjais
4003996,"Lalo Rivera"
3992971,VA10HD
3992946,"Music GO Relaxing"
3990927,"Bodega Aurrera"
3987083,Niosant
3969609,DetrÃ¡sDeCÃ¡maras
3966898,"Soy Francisco ALV"
3966223,CaliyElDandeeVEVO
3963739,Willyrex
3957385,"Lucas and Marcus"
3946796,"CRUZ AZUL FUTBOL MX"
3940260,Pautips
3927928,"Reality Mex"
3925180,TheSurvivorSpanish
3914068,"Wrestling Time"
3910947,"Ligados No Futebol"
3905593,Noti7
3878510,"Bo Johnson"
3875551,"Rooster Teeth"
3850862,RickyMartinVEVO
3849563,HBOenLatinoAmerica
3836208,"Alfonso LeÃ³n"
3834195,"Al Rojo Vivo"
3816366,"Motion Station"
3808397,"Fueled By Ramen"
3808396,"cid vela"
3802476,FulBox
3799730,MejorDiver
3785737,Choquillo
3766168,"Mr Scorpius"
3751060,"Oraciones Diarias con Amor"
3709019,LosVaMs
3687236,"XuXo Dom"
3680680,"Indie Arts Kenel"
3668971,SeanPaulVEVO
3663245,"Humor Mexicano"
3656651,"Viral Pancho"
3655088,"Elven King Life"
3652377,AlexXxStrecci
3640369,"SeÃ±ora Acero 4 Hd"
3638193,Tide
3634314,"Resumen FÃºtbol HD"
3631484,"SaraMixer Celebrities"
3631053,"Classical Songs"
3622108,"How Talented"
3613262,Facundo
3604316,"Trend Tv"
3597737,"Pulsa Channel"
3597513,RadioTV&MÃ¡s
3586167,"Soy Luna 3 Oficial Channel"
3583103,Vinemania
3577976,"Micky Contreras Martinez"
3577915,JhayCortezVEVO
3550327,"Xime Ponch"
3542535,"El Financiero Bloomberg"
3541607,Psyclone
3540771,"Mas Que Telenovelas"
3530567,"DetrÃ¡s del Foco"
3524882,Benshorts
3518280,"Camila Cabello"
3516602,MikyWoodz
3512420,RULÃ‰S
3509895,BotonÃ«t
3504999,Gym4men
3500976,"Rockerki Gamer"
3494685,"Realitys del Momento"
3474839,KhalidVEVO
3469269,"Futbol TOTAL"
3464954,"HiHi TV"
3461787,"Vm granmisterio"
3456310,RemexMusic
3441658,"Noticias del FERRAS TV Internacional"
3440692,"Imagen Noticias"
3425163,Antrax
3412324,Domics
3411062,TheOdd1sOut
3386641,Samsung
3367792,megustapuescom
3358086,"FANATICO SIMPSON"
3351911,Lulu99
3346636,"Soy Luna Forever"
3340791,"Novelas Now"
3337728,"Channel Awesome"
3335233,INETV
3333809,"Realista Tv"
3333203,JuanesVEVO
3323615,FritangaPlays
3316276,"Clash of Clans"
3305605,CrazyRussianHacker
3303427,alanxelmundo
3302945,"Will Smith"
3295994,"Megustapuescom 2"
3281123,"Tano Upload"
3279495,"Mr Daddy"
3234154,"Primitive Technology"
3227497,Lolweapon
3217107,"Chisme Cacheton"
3203738,"Tutoriales Belen"
3193089,Wefere
3175167,"AndrÃ©s Navy"
3169294,Markiplier
3158825,"Noticiero Mundial News"
3151991,"The X Factor UK"
3147178,MemeViral
3139915,PasiÃ³nFutbolista.Com
3137349,"Pepe Garza"
3129965,"Edd00chan & MrDsaster INC"
3127608,Fortnite
3118403,"MATCH DAY MX"
3115518,"Lord Birdy"
3113517,"Baby Girl"
3111456,"El Super Trucha"
3108570,"SPGOALS TV"
3106638,"El Fedelobo"
3098159,"Imagen Entretenimiento"
3095476,"Bhad Bhabie"
3092786,"AsÃ­ O MÃ¡s FÃ¡cil"
3069273,"YO NO SOY UN CHEF"
3068037,"The Slow Mo Guys"
3060601,WorldCupMexHD
3049942,"Mnet K-POP"
3048119,Smosh
3045309,GerardoOrtizVEVO
3037424,CdeCiencia
3036329,"Daniel Joy"
3031430,kevsho
3028061,"linkerter pluss"
3018892,"EL PAIS"
3018846,JColeVEVO
3018563,"XZERO TONY"
3014847,"Super Netvid"
3001890,"Wrestling Universe"
2998198,SugarlandVEVO
2989479,"Re Football"
2969604,"Miguel Alonso"
2964829,"Wrestling Phobia"
2960625,Edd00chan
2958967,"Jeny Pop En Ingles"
2957441,HALO
2939706,"Cerveza Tecate MÃ©xico"
2931084,Iuonak
2927565,"Football Highlights Update"
2927128,"ViraLiSaMeEsta â€¢"
2920699,GuatevisiÃ³n
2918803,"En Viral"
2916846,"The WarrioR"
2914158,nigahiga
2911995,"Supervivientes Del Universo"
2906356,"Alfred rich"
2892268,"Dash Aniston"
2892170,TheShooterCoC
2878131,"Todo Futbol En Vivo"
2867117,"Eirian Music"
2857068,"Sangre yAgua"
2851466,"Takis MÃ©xico"
2848817,"Armando En Tu Cocina"
2837124,"ZellenDust - REY DEL TERROR Y EL ABSURDO"
2835386,"Matt Stonie"
2835139,Gerencia360TV
2832705,"PBS NewsHour"
2831351,"ABC Television Stations"
2828208,"The Official PokÃ©mon YouTube Channel"
2825348,"Noti-blogs Expess"
2807041,"Jonathan Justiniano"
2805005,Univision
2802146,PepeProblemas
2787566,"Extranotix Misterio"
2786105,UEFA.tv
2783140,"The Star Online"
2773999,"Alberto Rivera"
2767977,"Safiya Nygaard"
2767334,MX-AG/AUDIOVISUAL
2759350,AlemÃ¡n
2758152,Fazzer
2750715,"Physical Treatment"
2750259,xxxtentacion
2739673,"LIT killah"
2729584,TheChacal547
2727725,AutoDinÃ¡mico
2724803,LouisTomlinsonVEVO
2719123,iTops
2717050,"Azteca Novelas"
2709700,"El Siglo mx"
2709126,"BCC Trolling"
2707572,"Ariann Music"
2706572,Alecchi
2705965,"Football Highlights & Goals"
2698520,Poppy
2688277,"Turma da MÃ´nica"
2684578,"El seÃ±or de los cielos 6 MX"
2677218,"Tele Avances"
2673183,"Fut MX"
2672001,"PROMOCIONES RAMIREZ"
2670986,"Series Telenovelas Blim ntcmusicvideos"
2666133,"Jordan Dzib"
2662485,"Palomitas Flow"
2660768,"ERICK NOVELAS"
2655545,"Ciber Sports"
2654099,"Guillermo Ramirez"
2645708,alfredomatta
2641994,"Cocholate TV ãƒ„"
2633258,"Chisme Youtubero"
2629328,"Binging with Babish"
2618052,"ED Futbol, Tennis and more"
2617787,Tecnonauta
2612830,"Brothers sports"
2609963,"Marca Claro"
2603166,"STR Red"
2595995,HistoriaMX
2592716,"Telemundo Novelas"
2580817,"JAC Producciones"
2567149,TVFUTBOL
2565752,Marisolpink
2563438,"Geraldine BazÃ¡n"
2562945,"El idioma del Amor"
2555823,"MODA COOL"
2554314,"Ariana Grande`"
2553120,"ABC Television Network"
2544856,"Mao Tran"
2541472,"Tv Cartoon-CDR"
2534323,"COMO TREINAR"
2532336,"Gabriel HD"
2531720,"DEL Records"
2526365,Pitufox17
2516000,"soyFrancisco ALV"
2513838,"Univision Deportes"
2511183,"Carlos carlos"
2505883,"El Nopal Times"
2503725,"AFmedios Noticias de Colima"
2500992,AlphaSniper97
2497813,"Tee Grizzley"
2495043,JosephDavids07
2485079,"First We Feast"
2481538,"DEL Records TV"
2480543,KHEA
2480364,"Melissa Sweeney"
2479496,"Videos MÃ©xico"
2476177,"Vive tus sueÃ±oss"
2475901,"Los destrampados OFICIAL"
2474560,Battlefield
2467651,"Stadium Astro"
2465977,"Popcorn News"
2463380,"Padre Sergio"
2461837,BastilleVEVO
2451100,MaNiiXo
2449163,OlipBeautyCorner
2448996,"Jazzy B Records"
2444706,Zebaxthian18
2441277,"Cole Bennett"
2439028,"Lord Fer LEE"
2431564,LogicVEVO
2427366,"Isa Marcial"
2420271,"Los Tres Tristes Tigres"
2419054,SeriesHD
2418728,"Planeta Snakedos"
2410872,"MayEli Nest"
2410555,"Bryant Myers"
2399908,"Rapid Highlights"
2397565,"Cine Hd"
2389562,watchJojo
2377107,"KOKO DC"
2377098,ChrisBrownVEVO
2375198,"Fifty Shades"
2372225,ElChurches
2371272,alexisyfidoVEVO
2365624,"Liza Koshy"
2355077,"Nancy Loaiza"
2348176,"Doctor Mike"
2348118,EntretenimientoTV
2345732,"Quiero Cupcakes!"
2344638,ElTrollino
2338282,Oscars
2336565,"Chisme Youtubero *FRESCO*"
2320824,"Videos Futbol"
2320465,iDubbbzTV
2319434,Zorman
2316260,"Post Malone"
2314941,"Tecno Sports"
2306316,AtuLadoEsMejor
2306274,"Francisco Tequila"
2304011,"Usted Esta Aqui."
2295442,iggyazaleamusicVEVO
2286528,"NBC News"
2279169,RemmyValenzuelaVEVO
2269767,"Adexe & Nau"
2259956,"Lyna Vlogs"
2259294,"Don Benito"
2253808,"Kronno Zomber"
2250384,"Jauja Cocina Mexicana"
2248393,"Videos Mundo"
2247098,"BBC Radio 1"
2245768,"PERIODISMO LIBRE Y ARTISTICO"
2242477,"ElJamesHD Tops"
2239338,"20th Century Fox LA"
2236688,"Cultura Pop"
2234413,"EstoEs COMBO"
2229939,"Sam Echols"
2224282,"NTA Channel"
2221174,"Tube Sports"
2220797,GranCanariaTv.com
2212291,"Lindsey Stirling"
2208329,"Major Lazer"
2206661,Horaotaku
2190653,"Alejandro ZuÃ±iga"
2182557,"RockStar Deportes"
2181962,"Rodrigo SeptiÃ©n"
2181149,AresPromo
2168636,"Tube World"
2167329,"Karol Sevilla"
2166464,"Red CatÃ³lica Official"
2165286,gymvirtual
2161407,Neymagico
2158797,PlayOverwatch
2158723,"Gong Bao"
2155519,UNIVERSO
2153619,"Viral En redes!"
2148380,"Mix Bandas"
2145427,"El Chairo"
2143315,"Parecen Noticias Extra"
2142880,"Verdad Oculta"
2140058,consumer
2138353,"Noticias Mix"
2137448,FutbolxOnline
2134531,"Litlle Super BuuTenks and Ginyu"
2129320,Grillonautas2
2126683,"WWE KING"
2113564,"NaciÃ³n 321"
2112363,"MexGol TV"
2110586,"JIREN BIEN GRIS"
2110433,"TehFuriousD TV"
2105688,DeGoBooM
2103835,kiabu
2100084,sottozen
2098854,"Mariana Cabrera"
2095485,"Wrestling Reality II"
2092578,PTXofficial
2088333,"Akashi Tv"
2087809,"Merry Christmas"
2086917,WOWPresents
2073969,"Nath Campos"
2068600,"Remik GonzÃ¡lez 664"
2062591,"Criss Huera"
2059705,HalseyVEVO
2049123,"Carlos Cohen"
2048426,BestOfPatienceOzokwo
2039918,"Entertainment Tonight"
2038317,"LAURY WHAT"
2031269,Billboard
2027641,"Videos Virales Noticias"
2025298,"Futbol Total 3"
2023169,Santimaye
2015259,MelendiOficialVEVO
2014523,"La Pereztroica"
2012522,"Bianki Place"
2004507,FamilyFeud
2003617,ELFluv13
2002398,"Health Home Made Nuskhe Upay Tips"
2002173,RIX
1998595,Paulettee
1996746,"MATCH SHOW"
1994401,PepeyTeo
1989732,"Google Spotlight Stories"
1984668,zorronum1
1982857,"WOX TV"
1981525,"Mr Sako"
1978588,vicesat
1972425,"Universal Camera"
1972253,"Planeta SportTV"
1968760,"Highlight Heaven"
1967586,MdeMatu
1967042,"El Chapucero TODAY"
1962299,ZonaTrailers
1960744,"Enamorandonos Mx"
1959670,"Mario Ruiz"
1956886,Funimation
1954963,SporTube
1954194,"Inspira Positivo"
1952559,NGAKAKU
1952198,"La Diversion de Martina"
1943990,gRUNgerOFICIAL
1942912,"The Voice"
1942333,"Clevver TeVe"
1940360,"CASAS REALES"
1938370,"xJOEx à¹„à¸®à¹„à¸¥à¸—à¹Œà¸Ÿà¸¸à¸•à¸šà¸­à¸¥"
1935896,"1theK (ì›ë”ì¼€ì´)"
1935615,"Latino Vicente"
1929465,"Prensa Libre tv"
1926067,"Noticias Telemundo"
1924465,"Los Vlogs de Dross"
1922664,AndresCepedaVEVO
1918973,redimi2oficial
1916191,"yoongified 93"
1902790,"La Ruta de la Garnacha"
1895958,"News 42"
1892543,AmusementForce
1891151,"Mediaset EspaÃ±a"
1890901,"ONE Media"
1888165,"Style Videos"
1884455,"Mr Sagoo"
1883500,"Platiquemos Polinesios"
1882291,"dragon ball super GUMER"
1875876,DEPORTOLOGIA
1875820,"VICKY RECETA FACIL"
1867474,"Diario AS"
1864018,"Jose Lapiz"
1855463,"La Cocina Del Pirata"
1853601,UFOvnis
